name;year;mileage;engine_power_kW;engine_power_hp;fuel;consumption;ecology;gearbox;price;currency;capacity;other;engine_size;nr_of_accidents;color_exterior;color_interior
Volkswagen Golf VII Lim. R 4Motion BMT - 1950 KM!;-;1950 km;;;Petrol;;;Automatic;33000,00;EUR;1,984 cc;;;;;
Mercedes Benz Citan 111 CDI Tourer Edition Panoramadak Navigatie 2 x schuifdeur;2018;21670 km;;;Diesel;;;Manual;12900,00;EUR;1,461 cc;;;;;
"Mercedes Benz A-klasse 180 Business Solution Automaat Navigatie 18 ""AMG";2017;59019 km;;;Petrol;;;Automatic;17900,00;EUR;1,595 cc;;;;;
Ford Focus C-Max 1.8-16V Ghia;2006;227520 km;;;Petrol;;;Manual;1850,00;EUR;1,798 cc;;;;;
Renault Scénic 1.6-16V Authentique Comfort automaat;2005;166043 km;;;Petrol;;;Automatic;1350,00;EUR;1,598 cc;;;;;
Mitsubishi Eclipse Cross;2018;23000 km;;;Petrol;;;Manual;24950,00;EUR;1,499 cc;;;;;
Land Rover Range Rover Evoque SD4 Aut. Dynamic;-;97000 km;;;Diesel;;;Automatic;19784,00;EUR;2,179 cc;;;;;
Mercedes Benz GLE-klasse 350 d 4MATIC AMG Airmatic Panoramadak Night pakket Distronic;2020;2134 km;;;Diesel;;;Automatic;70900,00;EUR;2,925 cc;;;;;
Opel Crossland X 1.2 Turbo Innovation 130PK (fabrieksgarantie - clim.ctrl - a...;2019;9979 km;;;Petrol;;;Manual;21900,00;EUR;1,199 cc;;;;;
Mercedes Benz X-klasse Grijs kenteken 250 5 Persoons;2018;4524 km;;;Diesel;;;Automatic;40950,00;EUR;2,298 cc;;;;;
Citroen C4 GRAND PICASSO 1.6HDI 7 PERS LEER NAVI CAMERA COMPLEET;2016;141963 km;;;Diesel;;;Automatic;12950,00;EUR;1,560 cc;;;;;
Mercedes Benz A -Klasse A 150 Elegance;-;133268 km;;;Petrol;;;Manual;3200,00;EUR;1,498 cc;;;;;
Audi A6 Avant 3.0 TDI quattro S Line ACC Luft HUD AHK;-;167365 km;;;Diesel;;;Automatic;19900,00;EUR;2,967 cc;;;;;
Toyota RAV 4 2.0 D4D 4X4 SUV left hand drive. SUV;2004;184123 km;;;Diesel;;;Manual;4750,00;EUR;2,000 cc;;;;;
Mercedes Benz E-klasse E 200 Business Solution AMG Multibeam LED 360* Camera   Automaat;2019;17544 km;;;Petrol;;;Automatic;49900,00;EUR;1,991 cc;;;;;
Renault Mégane Scénic 1.6 16V , Airco , Benzine/gas;2004;288330 km;;;LPG;;;Manual;950,00;EUR;1,598 cc;;;;;
Suzuki Celerio 1.0 Comfort | Airco | Bluetooth | 5-Deurs | LED | Radio/MP3 | NAP;2016;91207 km;;;Petrol;;;Manual;6390,00;EUR;998 cc;;;;;
Toyota Prius 1.5 VVT-i Hybrid Aut. Airco;2007;261751 km;;;Hybrid;;;Automatic;2500,00;EUR;1,497 cc;;;;;
Audi Q5 sport quattro;-;74158 km;;;Diesel;;;Automatic;29600,00;EUR;1,968 cc;;;;;
Mercedes Benz Sprinter 213 Cdi 9 Sitze Schiebetür Klima Euro 6;2014;315170 km;;;Diesel;;;Automatic;13900,00;EUR;2,143 cc;;;;;
Mercedes Benz SPRINTER 311CDI AIRCO PERSOON INVALIDE VERVOER;2010;640000 km;;;Diesel;;;Automatic;7500,00;EUR;2,148 cc;;;;;
Mercedes Benz SPRINTER 311cdi l2h2 invalide persoonvervoer;2008;500000 km;;;Diesel;;;Automatic;6500,00;EUR;2,148 cc;;;;;
Mercedes Benz Sprinter Airco 8+1 Pers.;2009;500000 km;;;Diesel;;;Automatic;6750,00;EUR;2,148 cc;;;;;
Mercedes Benz Sprinter 311 CDI Personen/invalide vervoer incl. airco;2008;550000 km;;;Diesel;;;Automatic;7950,00;EUR;2,148 cc;;;;;
Mercedes Benz Sprinter 311cdi persoon/invalide vervoer;2007;310000 km;;;Diesel;;;Manual;7000,00;EUR;2,148 cc;;;;;
Mercedes Benz SL-Klasse 500;2002;133000 km;;;Petrol;;;Automatic;22500,00;EUR;4,966 cc;;;;;
Mercedes Benz A-klasse 200 Business Solution Automaat | Achteruitrijcamera | LED verli...;2019;11339 km;;;Petrol;;;Automatic;33650,00;EUR;1,332 cc;;;;;
Volkswagen PASSAT 1.4 TSI Comfortline BlueMotion;2011;270674 km;;;Petrol;;;Automatic;6950,00;EUR;1,390 cc;;;;;
Volkswagen PASSAT 1.6 BMT 1.6 BMT PASSAT MANUAL PERFECT;2014;167500 km;;;Diesel;;;Manual;7900,00;EUR;1,598 cc;;;;;
Audi A4 1.6 , Airco;1999;274045 km;;;Petrol;;;Manual;1250,00;EUR;1,595 cc;;;;;
Smart City-Coupé Smart & Passion Aut. Pano/Airco;2002;129512 km;;;Petrol;;;Automatic;990,00;EUR;599 cc;;;;;
Peugeot 207 SW 1.4 VTi X-line Airco geen apk/motorstoringlampje brand vaste prijs;2008;219561 km;;;Petrol;;;Manual;1350,00;EUR;1,397 cc;;;;;
Suzuki JIMNY 4X4 4X4;1999;180000 km;;;Petrol;;;Manual;3750,00;EUR;1,298 cc;;;;;
Peugeot Expert 2.0 HDI L2H1;2012;180614 km;;;Diesel;;;Manual;5750,00;EUR;1,997 cc;;;;;
Nissan Qashqai 2.0 dCi Tekna Pack 4WD 150 PK | Panoramadak | Trekhaak | Climate...;2007;228450 km;;;Diesel;;;Manual;4940,00;EUR;1,995 cc;;;;;
Toyota Aygo 1.0 VVT- I X-NAV (slechts 547 km op de teller, werkelijk nieuwstaat);2018;547 km;;;Petrol;;;Manual;11900,00;EUR;998 cc;;;;;
Mercedes Benz GLC-klasse Coupé 220 d 4MATIC AMG Night pakket Head Up 360 camera Schuifdak;2016;88667 km;;;Diesel;;;Automatic;37800,00;EUR;2,143 cc;;;;;
Audi SQ8 4.0 TDI quattro Panoramadak B&O Sound Direct / Lager;2019;3256 km;;;Diesel;;;Automatic;86900,00;EUR;3,956 cc;;;;;
Ford Mondeo 2.0-16V Limited;2010;127544 km;;;Petrol;;;Manual;7750,00;EUR;1,999 cc;;;;;
Peugeot 207 1.4 VTi Access;2011;86968 km;;;Petrol;;;Manual;5549,00;EUR;1,397 cc;;;;;
Peugeot 107 1.0-12V Urban Move;2010;72427 km;;;Petrol;;;Manual;4649,00;EUR;998 cc;;;;;
Volvo V70 2.4 D Geartronic;2004;481469 km;;;Diesel;;;Automatic;1050,00;EUR;2,401 cc;;;;;
Ford Ka 1.2 Titanium;2010;115809 km;;;Petrol;;;Manual;3499,00;EUR;1,242 cc;;;;;
Ford KA KA 3 deurs handgeschakeld;2007;149210 km;;;Petrol;;;Manual;999,00;EUR;1,299 cc;;;;;
Mercedes Benz ROLSTOELBUS VITO 109 CDI;2006;130709 km;;;Diesel;;;Manual;9950,00;EUR;2,148 cc;;;;;
Land Rover RANGE ROVER SPORT SE LEER NAVIGATIE TREKHAAK;2006;225134 km;;;Diesel;;;Automatic;9950,00;EUR;2,720 cc;;;;;
Bentley Continental GT YOUNGTIMER *ORIGINEEL NEDERLANSE AUTO*;2004;91097 km;;;Petrol;;;Automatic;36850,00;EUR;5,998 cc;;;;;
Audi A4 Sedan 2.5 TDI Pro-Line Automaat;2005;434721 km;;;Diesel;;;Automatic;2950,00;EUR;2,496 cc;;;;;
Volvo S60 R - S60 2.4 - 120kW;2007;392000 km;;;Diesel;;;Automatic;2900,00;EUR;2,400 cc;;;;;
Volkswagen Transporter T6.1 2.0 TDI 150 PK DSG L2H1 CARAVELLE EURO 6 D-TEMP CRUISE ...;2020;3 km;;;Diesel;;;Automatic;44500,00;EUR;1,968 cc;;;;;
Peugeot 206 1.6-16V Gentry;2001;182302 km;;;Petrol;;;Manual;1299,00;EUR;1,587 cc;;;;;
Honda Civic Sedan 1.3 HYBRID Aut. Airco;2007;221935 km;;;Hybrid;;;Automatic;3200,00;EUR;1,339 cc;;;;;
Skoda Octavia Combi 1.0 TSI Greentech Ambition Business;2018;29202 km;;;Petrol;;;Automatic;23600,00;EUR;999 cc;;;;;
Toyota RAV 4 (4WD) AUTOMATIC 2.4 VVT-I   4WD AUT.;2012;49663 km;;;Diesel;;;Automatic;8700,00;EUR;2,399 cc;;;;;
Mercedes Benz GLE  34.350,- ex btw| Automaat | Trekhaak | Navigatie | Panorama Dak | ...;2016;99983 km;;;Diesel;;;Automatic;34350,00;EUR;2,143 cc;;;;;
Opel Corsa 1.2 16V , Airco;2000;194528 km;;;Petrol;;;Manual;950,00;EUR;1,199 cc;;;;;
Maserati GranCabrio 4.7 V8 Sport 338 kw / 460 pk;2019;11145 km;;;Petrol;;;Automatic;89900,00;EUR;4,691 cc;;;;;
Land Rover Range Rover Evoque 2.0 TD4 SE Dynamic Panoramadak Tech Pack;2018;4170 km;;;Diesel;;;Automatic;35500,00;EUR;1,998 cc;;;;;
"Land Rover Range Rover Sport 3.0 TDV6 HSE Dynamic Panoramadak 21 "" TFT scherm Navi ...";2017;7089 km;;;Diesel;;;Automatic;65000,00;EUR;2,993 cc;;;;;
"Mercedes Benz GLE-klasse 300 d 4MATIC AMG 22 ""7 persoons";2019;3157 km;;;Diesel;;;Automatic;72500,00;EUR;1,950 cc;;;;;
Mercedes Benz GLE-klasse 300 d 4MATIC AMG Panorama Night pakket Distronic Memory;2020;1890 km;;;Diesel;;;Automatic;63900,00;EUR;1,950 cc;;;;;
Hyundai ix20 1.6i Go! (airco - navi - ml - LMV - radio/cd/mp3 - MF lederen stuur...;2015;71120 km;;;Petrol;;;Manual;13900,00;EUR;1,591 cc;;;;;
Mercedes Benz C 180 Classic;-;140909 km;;;Petrol;;;Manual;1250,00;EUR;1,998 cc;;;;;
Peugeot 208 1.2 VTi Allure 82 PK | Airco | Cruise control | Parkeersensoren | Bl...;2012;218057 km;;;Petrol;;;Manual;4990,00;EUR;1,199 cc;;;;;
Mercedes Benz Sprinter 311 CDI Personenbus | Airco | nette staat | NAP;2007;201689 km;;;Diesel;;;Manual;6450,00;EUR;2,148 cc;;;;;
Mercedes Benz A-klasse A 180 Business Solution AMG Automaat;2019;22084 km;;;Petrol;;;Automatic;34650,00;EUR;1,332 cc;;;;;
Toyota Aygo 1.0 12V +;2007;193721 km;;;Petrol;;;Manual;1600,00;EUR;998 cc;;;;;
Volkswagen lang 2.5 TDI REIMO WoMo Alkoven AHK SHZ;-;239630 km;;;Diesel;;;Manual;9650,00;EUR;2,399 cc;;;;;
Mercedes Benz sprinter 311cdi 9 persoons met invalide lift;2007;400000 km;;;Diesel;;;Automatic;6750,00;EUR;2,148 cc;;;;;
Renault Master 170dci L2H2 Automatik AHK 3500kg 6-Sitze;-;6700 km;;;Diesel;;;Automatic;19750,00;EUR;2,299 cc;;;;;
Mercedes Benz A -Klasse A 140  Lang   TÜV Neu;-;105600 km;;;Petrol;;;Manual;2690,00;EUR;1,397 cc;;;;;
Mercedes Benz Sprinter 308 CDI personenbus, rolstoel lift , wb 355;2003;271507 km;;;Diesel;;;Manual;3250,00;EUR;2,148 cc;;;;;
Mercedes Benz V 250d / Avantgard / XL Leder / AHK 2,5t / SHZ;-;43910 km;;;Diesel;;;Automatic;36983,00;EUR;2,143 cc;;;;;
Mercedes Benz Sprinter | Rolstoelbus | L2H2 | Lift | voorinstap;2007;316494 km;;;Diesel;;;Manual;6250,00;EUR;2,148 cc;;;;;
Seat Ibiza Rijschool !!  5-Drs 1.2 TDI Ecomotive Style Airco;2012;217118 km;;;Diesel;;;Manual;3300,00;EUR;1,199 cc;;;;;
Seat Ibiza 1.4-16V Signo airco ecc;2002;134956 km;;;Petrol;;;Manual;1699,00;EUR;1,390 cc;;;;;
Mercedes Benz Sprinter 311 2.2 CDI 8-PERS.BUS 432 HD;2006;513775 km;;;Diesel;;;Manual;4750,00;EUR;2,148 cc;;;;;
Toyota 30/11/2012;2012;130920 km;;;Diesel;;;Manual;10500,00;EUR;2,231 cc;;;;;
Peugeot 308 1.6 VTi X-line airco;2008;98030 km;;;Petrol;;;Manual;4750,00;EUR;1,598 cc;;;;;
Volkswagen Golf 1.4 TSI DSG Highline Navi,Massage,Pdc,Climat,Stoelverw NAP NL AUTO;2013;187286 km;;;Petrol;;;Automatic;11950,00;EUR;1,395 cc;;;;;
Volkswagen Golf 1.8 TSI 118kw/160pk Climate control,Navigatie,Stoelverw,Pdc V+A,Enz;2009;271570 km;;;Petrol;;;Manual;5950,00;EUR;1,798 cc;;;;;
Mercedes Benz SPRINTER 308 CDI;2000;196193 km;;;Diesel;;;Manual;3500,00;EUR;2,148 cc;;;;;
Toyota Avensis Combi Edition 1.8Multidrive/Nav/AHK/Sitz;-;58000 km;;;Petrol;;;Manual;10299,00;EUR;1,798 cc;;;;;
Mercedes Benz E-Klasse T-Modell E 250 CDI BlueEfficiency/Navi;-;183000 km;;;Diesel;;;Manual;6896,00;EUR;2,143 cc;;;;;
Volkswagen Touran Freestyle/Navi/DSG/Klima/Sitzh/AHK;-;140715 km;;;Petrol;;;Automatic;6499,00;EUR;1,390 cc;;;;;
Ford Galaxy 2,0 TDCi 103kW DPF Trend;-;198100 km;;;Diesel;;;Manual;6500,00;EUR;1,997 cc;;;;;
Ford Galaxy 2,0 EcoBoost Titanium PowerShift / 7-Sitz;-;77000 km;;;Petrol;;;Automatic;9999,00;EUR;1,999 cc;;;;;
Mercedes Benz SLK Roadster 280 V6 3,0 L Sportfahrwerk;2005;264000 km;;;Petrol;;;Automatic;13804,00;EUR;2,997 cc;;;;;
Mercedes Benz 519 CDI Bus armoured armored VR6 11 passengers;-;10 km;;;Diesel;;;Automatic;233000,00;EUR;2,987 cc;;;;;
Lexus LX570 S gepanzert armoured armored VR7 new stock;-;903 km;;;Petrol;;;Automatic;175000,00;EUR;5,700 cc;;;;;
Mercedes Benz S560L 4x4  gepanzert armoured armored VR6;-;10 km;;;Petrol;;;Automatic;296500,00;EUR;4,663 cc;;;;;
Mercedes Benz S 600 L gepanzert armoured armored VR6;-;10 km;;;Petrol;;;Automatic;389000,00;EUR;5,980 cc;;;;;
Land Rover Freelander 2 DSL A.;-;124000 km;;;Diesel;;;Automatic;9999,00;EUR;2,179 cc;;;;;
Ford TRANSIT/TOURNEO 4500 NETTO!!!!export;2010;258991 km;;;Diesel;;;Manual;5445,00;EUR;2,198 cc;;;;;
Peugeot 308 SW 1.6 VTI XT Pano/Airco;2009;194354 km;;;Petrol;;;Manual;2250,00;EUR;1,600 cc;;;;;
Mercedes Benz GLC 220d AMG Aut9 4Matic Pano/Leer;2016;131275 km;;;Diesel;;;Automatic;20900,00;EUR;2,143 cc;;;;;
Mercedes Benz SPRINTER 311cdi l2h2 airco 9persoons met invalide lift;2011;700000 km;;;Diesel;;;Automatic;6750,00;EUR;2,148 cc;;;;;
Mercedes Benz sprinter 311cdi 9 persoons;2007;240000 km;;;Diesel;;;Manual;6750,00;EUR;2,148 cc;;;;;
Mercedes Benz SPRINTER 311cdi airco 9 persoons;2008;220000 km;;;Diesel;;;Automatic;9250,00;EUR;2,148 cc;;;;;
Fiat FIAT DUCATO 9 persoons;2012;150000 km;;;Diesel;;;Manual;8750,00;EUR;1,956 cc;;;;;
BMW 3-serie Touring 318i;2010;148149 km;;;Petrol;;;Manual;7950,00;EUR;1,995 cc;;;;;
Land Rover Discovery Sport TD4 Aut. SE MOTORSCHADE;-;124000 km;;;Diesel;;;Automatic;11999,00;EUR;1,999 cc;;;;;
Ford Focus Wagon 1.6-16V Trend airco;2000;240971 km;;;Petrol;;;Manual;699,00;EUR;1,596 cc;;;;;
Mercedes Benz SPRINTER 315 CDI LANG;2009;253015 km;;;Diesel;;;Automatic;5950,00;EUR;2,148 cc;;;;;
Opel Corsa 1.2-16V Njoy airco;2003;243173 km;;;Petrol;;;Manual;749,00;EUR;1,199 cc;;;;;
Volkswagen Transporter T6.1 2.0 TDI 150 PK DSG L2H1 CARAVELLE EURO 6 D-TEMP CRUISE ...;2020;3 km;;;Diesel;;;Automatic;44500,00;EUR;1,968 cc;;;;;
Toyota 4.5 D-4D V8;2008;461390 km;;;Diesel;;;Automatic;25000,00;EUR;4,461 cc;;;;;
Mercedes Benz Sprinter 311 2.2 CDI 366 HD;2008;561000 km;;;Diesel;;;Automatic;7950,00;EUR;2,148 cc;;;;;
Toyota 2.5 D-4D;2009;101997 km;;;Diesel;;;Manual;8500,00;EUR;2,494 cc;;;;;
Toyota 90 3.0 D-4D;2002;272247 km;;;Diesel;;;Automatic;6500,00;EUR;2,982 cc;;;;;
Mercedes Benz 500 sel;1981;278000 km;;;LPG;;;Automatic;9750,00;EUR;4,973 cc;;;;;
Mercedes Benz 190 E 1.8;1993;123000 km;;;Petrol;;;Manual;5500,00;EUR;1,797 cc;;;;;
Toyota 1.6;2008;226886 km;;;Petrol;;;Manual;4800,00;EUR;1,598 cc;;;;;
Mercedes Benz SPRINTER 316 ngt aardgas !;2014;248489 km;;;LPG;;;Automatic;14950,00;EUR;1,796 cc;;;;;
Toyota 90 3.0 D-4D;2001;463349 km;;;Diesel;;;Automatic;6500,00;EUR;2,982 cc;;;;;
Peugeot Partner Tepee Active *Navi*;2016;27000 km;;;Petrol;;;Manual;12750,00;EUR;1,598 cc;;;;;
Peugeot 306 XR 1.4 CRYSTAL;1995;207023 km;;;Petrol;;;Manual;950,00;EUR;1,360 cc;;;;;
Iveco Daily 50 C 14 HPi , 3.0, NO KEYS , immobiliser;2007;1 km;;;Diesel;;;Manual;2750,00;EUR;2,998 cc;;;;;
Toyota 4.5 D-4D V8;2008;461355 km;;;Diesel;;;Automatic;25000,00;EUR;4,461 cc;;;;;
Toyota 90 3.0 D-4D;2000;211201 km;;;Diesel;;;Manual;5900,00;EUR;2,982 cc;;;;;
Audi 2.0 TDI;2012;185657 km;;;Diesel;;;Automatic;14500,00;EUR;1,968 cc;;;;;
Audi A3 Cabrio 1.2 TFSI Ambition Climate;2012;101298 km;;;Petrol;;;Manual;8900,00;EUR;1,197 cc;;;;;
Mercedes Benz M-klasse 270 CDI clima, cruise;2003;326370 km;;;Diesel;;;Automatic;3550,00;EUR;2,685 cc;;;;;
Renault Megane Grandtour 1.5 dCi 110 Eco Dynamique Aut6 Navi;2010;199587 km;;;Diesel;;;Automatic;3300,00;EUR;1,461 cc;;;;;
Land Rover Range Rover TDV8;-;165000 km;;;Diesel;;;Automatic;17241,00;EUR;4,367 cc;;;;;
Land Rover Range Rover Evoque TD4 Aut. Pure Technik;-;94000 km;;;Diesel;;;Automatic;19784,00;EUR;2,179 cc;;;;;
Toyota Corolla-verso 1.8 VVT-i Linea Sol Airco/ECC;2003;185287 km;;;Petrol;;;Manual;1950,00;EUR;1,794 cc;;;;;
Mercedes Benz SPRINTER 9 persoons l2h2 9x op voorraad vanaf 6500ex btw;2008;240000 km;;;Diesel;;;Manual;6500,00;EUR;2,148 cc;;;;;
Mercedes Benz sprinter 311cdi;2006;290000 km;;;Diesel;;;Manual;6250,00;EUR;2,148 cc;;;;;
Mercedes Benz sprinter 311cdi 9 persoons sprinter 311cdi 9 persoons;2007;230000 km;;;Diesel;;;Manual;6500,00;EUR;2,148 cc;;;;;
Fiat FIAT DUCATO 9 persoons 115000km;2012;115000 km;;;Diesel;;;Manual;8750,00;EUR;1,956 cc;;;;;
Fiat FIAT DUCATO 9 persoons 115000km;2012;115000 km;;;Diesel;;;Manual;8750,00;EUR;1,956 cc;;;;;
Fiat FIAT DUCATO 9 persoons 105000km;2012;105000 km;;;Diesel;;;Manual;8750,00;EUR;1,956 cc;;;;;
Mercedes Benz C-klasse 220 CDI Avantgarde Navigaie LED;2014;91191 km;;;Diesel;;;Manual;17900,00;EUR;2,143 cc;;;;;
Mitsubishi Space Star 1.0 Bright Automaat | Climate control | Dealer onderhouden | ...;2015;24608 km;;;Petrol;;;Automatic;8740,00;EUR;999 cc;;;;;
Peugeot 108 1.0 e-VTi Active | Airco | 5-deurs | Lederen multifunctioneel stuurw...;2015;67034 km;;;Petrol;;;Manual;6395,00;EUR;998 cc;;;;;
Ford Ka 1.3;2007;111630 km;;;Petrol;;;Manual;1500,00;EUR;1,299 cc;;;;;
Land Rover Range Rover Autobiography  Black  Kühlbox-Voll;-;50 km;;;Petrol;;;Automatic;109900,00;EUR;5,000 cc;;;;;
Toyota COROLLA VERSO;2004;228552 km;;;Petrol;;;Manual;2800,00;EUR;1,794 cc;;;;;
Audi A6 Avant 3.0 TDI quattro Pro Line Plus;2013;213443 km;;;Diesel;;;Automatic;12500,00;EUR;2,967 cc;;;;;
Ford Focus 1.8 TDCi , Airco;2003;197288 km;;;Diesel;;;Manual;550,00;EUR;1,800 cc;;;;;
Mazda 323 1.4/16V Si;1998;243780 km;;;Petrol;;;Manual;600,00;EUR;1,400 cc;;;;;
Mercedes Benz AMG GT S;2015;13556 km;;;Petrol;;;Automatic;127500,00;EUR;3,982 cc;;;;;
Opel Astra Wagon 1.6 Temptation;2008;98540 km;;;Petrol;;;Manual;5149,00;EUR;1,598 cc;;;;;
Opel Astra 1.6 Sport 32.000 km met nap;1998;32787 km;;;Petrol;;;Manual;3449,00;EUR;1,598 cc;;;;;
BMW 5-serie 520i Executive Automaat;2004;365427 km;;;Petrol;;;Automatic;3250,00;EUR;2,171 cc;;;;;
Mercedes Benz GL 63 AMG 4 MATIC - Full spec - 7 seater - Panorama roof - Harman Kardon...;2014;59684 km;;;Petrol;;;Automatic;58900,00;EUR;5,461 cc;;;;;
Audi Q5;-;31500 km;;;Petrol;;;Automatic;23995,00;EUR;1,984 cc;;;;;
Peugeot 206 Cabriolet CC Filou       1. Hand.;-;143800 km;;;Petrol;;;Manual;1690,00;EUR;1,587 cc;;;;;
BMW 1-serie 5-Drs 116i Business Line Airco;2010;214471 km;;;Petrol;;;Manual;3800,00;EUR;1,995 cc;;;;;
Volkswagen Passat 2.0 FSi , Navi , Leder , Aut.;2006;281221 km;;;Petrol;;;Automatic;2500,00;EUR;1,984 cc;;;;;
Fiat FIAT DUCATO 9 persoons 100000km;2012;100000 km;;;Diesel;;;Manual;8750,00;EUR;1,956 cc;;;;;
Mercedes Benz sprinter 316cdi airco persoon invalide vervoer;2013;620000 km;;;Diesel;;;Automatic;14500,00;EUR;2,143 cc;;;;;
Mercedes Benz SPRINTER 9persoons met invalide lift;2011;500000 km;;;Diesel;;;Automatic;7950,00;EUR;2,148 cc;;;;;
Opel Vivaro 9 Sitze * 8400,-netto TÜV Neu;-;143000 km;;;Diesel;;;Manual;8400,00;EUR;1,598 cc;;;;;
Opel Vivaro 9 Sitze;-;165000 km;;;Diesel;;;Manual;8200,00;EUR;1,598 cc;;;;;
Audi A4 Avant 1.4 TFSI 150pk Pro L. Spring Adv. Avant Navi Klima;2016;121849 km;;;Petrol;;;Manual;12950,00;EUR;1,395 cc;;;;;
Citroen Jumpy HDi 125 FAP L1 Multispace Attraction;2014;265000 km;;;Diesel;;;Manual;4750,00;EUR;1,997 cc;;;;;
Mercedes Benz 124type 230 E 124;1985;190000 km;;;Petrol;;;Automatic;7750,00;EUR;2,299 cc;;;;;
Mercedes Benz 500 SL Airco Automaat Marge SL 500;1991;107000 mi;;;Petrol;;;Automatic;13750,00;EUR;4,973 cc;;;;;
Mercedes Benz sprinter 311cdi airco 9 persoons l3h2;2008;470000 km;;;Diesel;;;Automatic;6500,00;EUR;2,148 cc;;;;;
Mercedes Benz 200 E 124 type automaat 157000km;1989;157000 km;;;Petrol;;;Automatic;7750,00;EUR;1,996 cc;;;;;
Jeep JEEP WRANGLER 4x4 cabrio;1997;160000 km;;;LPG;;;Manual;9750,00;EUR;2,464 cc;;;;;
Ford Ranger Doppelkabine 4x4 Wildtrak;-;33500 km;;;Diesel;;;Automatic;24900,00;EUR;3,198 cc;;;;;
Renault Trafic Kasten L1H1 2,7t Komfort;-;6900 km;;;Diesel;;;Manual;14900,00;EUR;1,598 cc;;;;;
Ford Mondeo TDCI AC-CLIME Mondeo;2006;238000 km;;;Diesel;;;Manual;650,00;EUR;1,998 cc;;;;;
Fiat 500 1.2 Lounge Aut.NAP Airco,Leer,Pano,Pdc;2010;52281 km;;;Petrol;;;Automatic;7250,00;EUR;1,242 cc;;;;;
Volkswagen PASSAT Variant 1.6 TDI Diesel Trekhaak- climat control A/C- Navi passat;2015;159000 km;;;Diesel;;;Manual;14900,00;EUR;1,598 cc;;;;;
Opel Zafira 1.8-16V Selection Airco 7 persoons apk verlopen;2002;190913 km;;;Petrol;;;Manual;950,00;EUR;1,796 cc;;;;;
Opel Astra Sports Tourer 1.4 Turbo Business + nap airco;2013;149284 km;;;Petrol;;;Manual;8250,00;EUR;1,362 cc;;;;;
Opel CORSA 1.2 16v Strada 5drs. - APK Jan. 2021 - 7120;1999;241846 km;;;Petrol;;;Manual;650,00;EUR;1,199 cc;;;;;
Skoda Octavia Combi 1.5 TSI 110kW Ambition Navi;2018;41153 km;;;Petrol;;;Manual;7500,00;EUR;1,498 cc;;;;;
Toyota Aygo TÜV NEU;-;85000 km;;;Petrol;;;Manual;2999,00;EUR;998 cc;;;;;
Mercedes Benz E 320 Avantgarde 7 zitter;1998;112500 km;;;Petrol;;;Automatic;4750,00;EUR;3,199 cc;;;;;
BMW 325I;1993;55205 km;;;Petrol;;;Automatic;5750,00;EUR;2,493 cc;;;;;
Ford TRANSIT/TOURNEO;2007;334039 km;;;Diesel;;;Manual;4950,00;EUR;2,198 cc;;;;;
BMW 7-serie 740Le iPerformance High Executive - Ex. Minister auto! -  29.95...;2016;210090 km;;;Hybrid;;;Automatic;29950,00;EUR;1,998 cc;;;;;
Kia SORENTO 2.5;2003;256000 km;;;Diesel;;;Manual;2250,00;EUR;2,497 cc;;;;;
Volkswagen Touran 1.6 FSi Business Airco;2006;254323 km;;;Petrol;;;Manual;1650,00;EUR;1,598 cc;;;;;
Toyota Verso 2.0 D-4D Aspiration 7-pers. Navi/Climate;2012;217799 km;;;Diesel;;;Manual;4900,00;EUR;1,998 cc;;;;;
Volkswagen Golf Variant 1.4 TSI 118kW Highline Panorama;2011;128175 km;;;Petrol;;;Manual;5300,00;EUR;1,390 cc;;;;;
Mercedes Benz E 200;2002;254000 km;;;Diesel;;;Manual;1250,00;EUR;2,148 cc;;;;;
Toyota AVENSIS 1.8 T27 7 PLACES/ZITTEN;2009;160000 km;;;Petrol;;;Automatic;6750,00;EUR;1,798 cc;;;;;
Ford FOCUS 1.6i Futura Wagon - 7119;2004;227064 km;;;Petrol;;;Manual;1250,00;EUR;1,596 cc;;;;;
Volkswagen Golf V Lim. United    Wildschaden;-;193560 km;;;Petrol;;;Manual;1690,00;EUR;1,390 cc;;;;;
Volkswagen T6 Bus Multivan Generation Six 4Mot  neuer Motor;-;145000 km;;;Diesel;;;Automatic;22328,00;EUR;1,968 cc;;;;;
Mercedes Benz G-klasse 400 CDI Machtige V8 Turbo diesel Young Timer;2005;197841 km;;;Diesel;;;Automatic;31950,00;EUR;3,996 cc;;;;;
Opel Vectra 2.2-16V Comfort AUTOMAAT AIRCO;2002;112991 km;;;Petrol;;;Automatic;3499,00;EUR;2,198 cc;;;;;
Audi A5 Sportback 2.0 TDI / XENON / ACC;2015;195613 km;;;Diesel;;;Automatic;14450,00;EUR;1,968 cc;;;;;
Mazda 5 1.8 , Airco , 7 seats;2007;281244 km;;;Petrol;;;Manual;1750,00;EUR;1,798 cc;;;;;
Renault Twingo 1.2 , Airco;1999;261305 km;;;Petrol;;;Manual;950,00;EUR;1,149 cc;;;;;
Opel Astra 1.6 GL;1999;124409 km;;;Petrol;;;Manual;1399,00;EUR;1,598 cc;;;;;
Opel Corsa 1.2-16V Business;2008;174442 km;;;Petrol;;;Manual;3399,00;EUR;1,229 cc;;;;;
Alfa Romeo Giulietta 1.7 TBi Quadrifoglio Verde 240PK (climate control - cruise con...;2013;115536 km;;;Petrol;;;Manual;14900,00;EUR;1,742 cc;;;;;
